"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"549","Must read.. #DeMonetisation #Rs500andRs1000 #CashRush #cashchaos #CashCleanUp  #Cash #SurgicalStrikeonBlackMoney
https://t.co/AHLa2w9vki",FALSE,0,NA,2016-11-13 08:28:51,FALSE,NA,"797717852039979008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imsms80",0,FALSE,FALSE,NA,NA
"550","#SurgicalStrikeonBlackMoney #DeMonetisation #blackmoney https://t.co/geB3DSrGUs",FALSE,0,NA,2016-11-13 08:27:37,FALSE,NA,"797717540700991488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prakashxkumar",0,FALSE,FALSE,NA,NA
"551","#SurgicalStrikeonBlackMoney <U+0928><U+0947> <U+0930><U+093E><U+092E> <U+0914><U+0930> <U+0939><U+093F><U+0928><U+094D><U+0926><U+0942> <U+0926><U+094B><U+0928><U+094B> <U+092F><U+093E><U+0926> <U+0926><U+093F><U+0932><U+093E> <U+0926><U+093F><U+092F><U+0947><U+0964>
Thanku @narendramodi 
Its call #<U+0905><U+091A><U+094D><U+091B><U+0947><U+0926><U+093F><U+0928> https://t.co/4KoY2Hdl4X",FALSE,1,NA,2016-11-13 08:27:03,FALSE,NA,"797717400468725760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VivekRsahu",0,FALSE,FALSE,NA,NA
"552",".@mediacrooks I think it is effect of Modi's #SurgicalStrikeonBlackMoney hitting fake currency racket https://t.co/8a0bHsQV17 via @oneindia",FALSE,0,"mediacrooks",2016-11-13 08:26:59,FALSE,"797700546010509312","797717381854494720","162304163","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TPrasad_7",0,FALSE,FALSE,NA,NA
"553","#SurgicalStrikeonBlackMoney #blackMoneycleanup #BlackMoney https://t.co/yo4qW7Tb42",FALSE,0,NA,2016-11-13 08:26:28,FALSE,NA,"797717254213287939",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prakashxkumar",0,FALSE,FALSE,NA,NA
"554","RT @SirJadeja: Do You Support Prime Minister Modi's #SurgicalStrikeonBlackMoney?

RT -Yes
Fav -No

#BlackMoney #CORRUPTION #CurrencyBan Rs…",FALSE,0,NA,2016-11-13 08:26:06,FALSE,NA,"797717160869187584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BhataiyaKamlesh",6205,TRUE,FALSE,NA,NA
"555","RT @harshkkapoor: #<U+092F><U+0947>_<U+092E><U+094B><U+0926><U+0940>_<U+0939><U+0948>
People who unleashed corruption on India are now forced to stand in Queue

#SurgicalStrikeOnBlackMoney https:…",FALSE,0,NA,2016-11-13 08:24:27,FALSE,NA,"797716745481953281",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ervijay99",8,TRUE,FALSE,NA,NA
"556","RT @harshkkapoor: #<U+092F><U+0947>_<U+092E><U+094B><U+0926><U+0940>_<U+0939><U+0948>
People who unleashed corruption on India are now forced to stand in Queue

#SurgicalStrikeOnBlackMoney https:…",FALSE,0,NA,2016-11-13 08:24:05,FALSE,NA,"797716654666809345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AcmatixJoshi",8,TRUE,FALSE,NA,NA
"557","RT @vikasbha: BiggBoss10 host @BeingSalmanKhan salutes PM @narendramodi for #DeMonetisation. Says it's big #SurgicalStrikeonBlackMoney http…",FALSE,0,NA,2016-11-13 08:22:35,FALSE,NA,"797716277179650048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","salmamohmed452",163,TRUE,FALSE,NA,NA
"558","#<U+092F><U+0947>_<U+092E><U+094B><U+0926><U+0940>_<U+0939><U+0948>
People who unleashed corruption on India are now forced to stand in Queue

#SurgicalStrikeOnBlackMoney https://t.co/eiFmE2Yawm",FALSE,2,NA,2016-11-13 08:22:34,FALSE,NA,"797716271508766720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","harshkkapoor",8,FALSE,FALSE,NA,NA
